reference_number,parent_reference_number,record_kind,completion_scope,initial_completion_date,initial_date_basis,final_completion_date,final_date_basis,date_notes,source_document_ids,source_urls,research_cutoff
24SYMV014447969,,original,Δασαρχείο Μεγάρων,2024-07-05,derived_from_installation_and_duration,2024-07-05,no_later_extension_identified,"Η τρίμηνη λήξη υπολογίζεται από το πρωτόκολλο εγκατάστασης της 05.04.2024. Η τελική επιμέτρηση υποβλήθηκε 27.06.2024 και εγκρίθηκε 02.07.2024. Δεν εντοπίστηκε μεταγενέστερη παράταση για το τμήμα Μεγάρων.","24SYMV014447969 | ΨΖ2Ε4653Π8-2ΤΘ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014447969 | https://diavgeia.gov.gr/doc/ΨΖ2Ε4653Π8-2ΤΘ",2026-08-12
24SYMV014662191,,original,Σύμβαση ΔΜ-01 — Καπανδρίτι Πεντέλη και Αιγάλεω,2024-11-23,derived_from_signature_and_duration,2025-03-08,approved_contract_validity_extension,"Η αρχική επτάμηνη διάρκεια έληγε 23.11.2024. Παρατάθηκε πρώτα έως 23.01.2025 και κατόπιν κατά 45 ημέρες έως 08.03.2025. Η ενδιάμεση προθεσμία υποβολής των μελετών είχε οριστεί 13.11.2024.","24SYMV014662191 | 6Σ2Τ4653Π8-Ξ6Η | ΡΡΚΣ4653Π8-ΗΨ9 | 9ΛΘ64653Π8-ΚΝΣ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014662191 | https://diavgeia.gov.gr/doc/6Σ2Τ4653Π8-Ξ6Η | https://diavgeia.gov.gr/doc/ΡΡΚΣ4653Π8-ΗΨ9 | https://diavgeia.gov.gr/doc/9ΛΘ64653Π8-ΚΝΣ",2026-08-12
24SYMV014662244,,original,Σύμβαση ΔΜ-02 — Πάρνηθα και Μέγαρα,2024-11-23,derived_from_signature_and_duration,2025-03-08,approved_contract_validity_extension,"Η αρχική επτάμηνη διάρκεια έληγε 23.11.2024. Παρατάθηκε πρώτα έως 23.01.2025 και κατόπιν κατά 45 ημέρες έως 08.03.2025. Η ενδιάμεση προθεσμία υποβολής των μελετών είχε οριστεί 13.11.2024.","24SYMV014662244 | 6Μ8Φ4653Π8-1Υ2 | ΡΡΚΣ4653Π8-ΗΨ9 | 9ΛΘ64653Π8-ΚΝΣ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014662244 | https://diavgeia.gov.gr/doc/6Μ8Φ4653Π8-1Υ2 | https://diavgeia.gov.gr/doc/ΡΡΚΣ4653Π8-ΗΨ9 | https://diavgeia.gov.gr/doc/9ΛΘ64653Π8-ΚΝΣ",2026-08-12
24SYMV015170089,,original,Σύνολο σύμβασης σχεδίου αντιπυρικής προστασίας,2025-05-22,derived_from_signature_and_duration,2025-06-30,actual_approval_no_overall_extension_found,"Η δεκάμηνη αρχική διάρκεια υπολογίζεται από την υπογραφή της 22.07.2024. Η προμελέτη παρατάθηκε από 22.10.2024 έως 20.12.2024. Δεν εντοπίστηκε παράταση της συνολικής διάρκειας· το σχέδιο εγκρίθηκε 30.06.2025.","24SYMV015170089 | 9ΥΟΕ4653Π8-ΠΘ7 | 636Ο4653Π8-Ο9Υ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV015170089 | https://diavgeia.gov.gr/doc/9ΥΟΕ4653Π8-ΠΘ7 | https://diavgeia.gov.gr/doc/636Ο4653Π8-Ο9Υ",2026-08-12
24SYMV015170089,,original,Στάδιο προμελέτης,2024-10-22,explicit_contract_stage_deadline,2024-12-20,approved_partial_extension,"Η παράταση αφορά το στάδιο της προμελέτης και όχι ρητή μεταβολή της συνολικής δεκάμηνης διάρκειας.","24SYMV015170089 | 9ΥΟΕ4653Π8-ΠΘ7","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV015170089 | https://diavgeia.gov.gr/doc/9ΥΟΕ4653Π8-ΠΘ7",2026-08-12
24SYMV016017961,,original,Σύνολο σύμβασης σχεδίου αντιπυρικής προστασίας Αιγάλεω,2025-10-13,derived_from_signature_and_duration,2025-12-04,actual_approval_no_extension_found,"Η δεκάμηνη αρχική διάρκεια υπολογίζεται από την υπογραφή της 13.12.2024. Δεν εντοπίστηκε πράξη παράτασης στα επτά αρχειοθετημένα αποτελέσματα. Η οριστική μελέτη υποβλήθηκε 11.07.2025 και εγκρίθηκε 04.12.2025.","24SYMV016017961 | ΨΛ1Β4653Π8-Φ9Δ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV016017961 | https://diavgeia.gov.gr/doc/ΨΛ1Β4653Π8-Φ9Δ",2026-08-12
25SYMV016570021,,original,Δασαρχείο Αιγάλεω,2025-08-28,derived_from_installation_and_duration,2026-07-22,approved_extension,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από την εγκατάσταση της 28.05.2025. Με διαδοχικές παρατάσεις η τελευταία πράξη εγκρίνει 22.07.2026. Το αίτημα ανέφερε 31.07.2026 αλλά το διατακτικό ορίζει 22.07.2026.","25SYMV016570021 | Ψ5Ξ64653Π8-ΖΑΩ | ΨΕ584653Π8-3Ψ8 | 68ΘΔ4653Π8-ΟΕ7","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/25SYMV016570021 | https://diavgeia.gov.gr/doc/Ψ5Ξ64653Π8-ΖΑΩ | https://diavgeia.gov.gr/doc/ΨΕ584653Π8-3Ψ8 | https://diavgeia.gov.gr/doc/68ΘΔ4653Π8-ΟΕ7",2026-08-12
25SYMV016570021,,original,Δασαρχείο Μεγάρων,2025-09-03,derived_from_installation_and_duration,2026-05-31,approved_extension,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από την εγκατάσταση της 03.06.2025. Η τελευταία ρητή εγκεκριμένη λήξη που εντοπίστηκε για τα Μέγαρα είναι 31.05.2026.","25SYMV016570021 | Ψ5Ξ64653Π8-ΖΑΩ | 91ΥΑ4653Π8-ΛΤΜ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/25SYMV016570021 | https://diavgeia.gov.gr/doc/Ψ5Ξ64653Π8-ΖΑΩ | https://diavgeia.gov.gr/doc/91ΥΑ4653Π8-ΛΤΜ",2026-08-12
25SYMV017345053,,original,Αιγάλεω και Μέγαρα — εργασίες ανά Εντολή Ανάθεσης,,per_work_order_unknown,,per_work_order_unknown,"Η σύμβαση δεν έχει μία ενιαία ημερομηνία λήξης. Κάθε εργασία ενεργοποιείται με χωριστή Εντολή Ανάθεσης που ορίζει τη δική της προθεσμία. Δεν τεκμηριώθηκε εντολή εκτέλεσης για Αιγάλεω ή Μέγαρα στο αρχειοθετημένο σύνολο.",25SYMV017345053,https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/25SYMV017345053,2026-08-12
25SYMV017471439,,original,Δασαρχείο Αιγάλεω,2026-02-20,derived_from_installation_and_duration,2026-05-26,approved_updated_schedule,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από την εγκατάσταση της 20.11.2025. Μετά από αναστολές και παρατάσεις το τελευταίο εγκεκριμένο χρονοδιάγραμμα αναγράφει προβλεπόμενο πέρας 26.05.2026.","25SYMV017471439 | 9ΤΖ74653Π8-ΛΙ5 | 6ΧΖΟ4653Π8-3ΧΠ | 65ΕΔ4653Π8-ΝΜΕ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/25SYMV017471439 | https://diavgeia.gov.gr/doc/9ΤΖ74653Π8-ΛΙ5 | https://diavgeia.gov.gr/doc/6ΧΖΟ4653Π8-3ΧΠ | https://diavgeia.gov.gr/doc/65ΕΔ4653Π8-ΝΜΕ",2026-08-12
25SYMV017471439,,original,Δασαρχείο Μεγάρων,2026-02-19,derived_from_installation_and_duration,2026-05-26,approved_updated_schedule,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από την εγκατάσταση της 19.11.2025. Μετά από αναστολές και παρατάσεις το τελευταίο εγκεκριμένο χρονοδιάγραμμα αναγράφει προβλεπόμενο πέρας 26.05.2026.","25SYMV017471439 | 9ΤΖ74653Π8-ΛΙ5 | ΡΤΦ44653Π8-Υ2Β | 65ΕΔ4653Π8-ΝΜΕ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/25SYMV017471439 | https://diavgeia.gov.gr/doc/9ΤΖ74653Π8-ΛΙ5 | https://diavgeia.gov.gr/doc/ΡΤΦ44653Π8-Υ2Β | https://diavgeia.gov.gr/doc/65ΕΔ4653Π8-ΝΜΕ",2026-08-12
26SYMV018936694,25SYMV017471439,supplement,Συμπληρωματικές εργασίες Αιγάλεω και Μεγάρων,2026-05-26,explicit_supplement_deadline,2026-05-26,no_later_extension_identified,"Η συμπληρωματική πράξη ορίζει 20 ημερολογιακές ημέρες από την υπογραφή. Τα εγκεκριμένα χρονοδιαγράμματα Αιγάλεω και Μεγάρων αναγράφουν πέρας 26.05.2026.","26SYMV018936694 | 65ΕΔ4653Π8-ΝΜΕ | 6ΧΖΟ4653Π8-3ΧΠ | ΡΤΦ44653Π8-Υ2Β","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/26SYMV018936694 | https://diavgeia.gov.gr/doc/65ΕΔ4653Π8-ΝΜΕ | https://diavgeia.gov.gr/doc/6ΧΖΟ4653Π8-3ΧΠ | https://diavgeia.gov.gr/doc/ΡΤΦ44653Π8-Υ2Β",2026-08-12
26SYMV018978343,25SYMV017345053,supplement,Συμπληρωματικές εργασίες Δασαρχείου Χαλκίδας,2026-05-20,explicit_supplement_deadline,2026-05-20,no_later_extension_identified,"Η πράξη ορίζει ρητά πέρας έως 20.05.2026 ή 13 ημέρες από την υπογραφή. Αφορά τη Χαλκίδα και διατηρείται στην ανάλυση μόνο ως σύνδεση με τη μητρική σύμβαση.","26SYMV018978343 | 6Ν464653Π8-Ω6Ρ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/26SYMV018978343 | https://diavgeia.gov.gr/doc/6Ν464653Π8-Ω6Ρ",2026-08-12
26SYMV018599431,,original,Δασαρχείο Αιγάλεω,2026-06-30,explicit_contract_cap,2026-07-20,approved_extension,"Η σύμβαση ορίζει αρχικό απώτατο όριο 30.06.2026. Η τμηματική παράταση για Αιγάλεω και Μέγαρα εγκρίθηκε έως 20.07.2026.","26SYMV018599431 | Ψ7Ψ34653Π8-Ε5Ι","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/26SYMV018599431 | https://diavgeia.gov.gr/doc/Ψ7Ψ34653Π8-Ε5Ι",2026-08-12
26SYMV018599431,,original,Δασαρχείο Μεγάρων,2026-06-30,explicit_contract_cap,2026-07-20,approved_extension,"Η σύμβαση ορίζει αρχικό απώτατο όριο 30.06.2026. Η τμηματική παράταση για Αιγάλεω και Μέγαρα εγκρίθηκε έως 20.07.2026.","26SYMV018599431 | Ψ7Ψ34653Π8-Ε5Ι","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/26SYMV018599431 | https://diavgeia.gov.gr/doc/Ψ7Ψ34653Π8-Ε5Ι",2026-08-12
