org_type,org_name_clean,doc_count,authority_level,municipality_id,region_id,coverage_region_ids,coverage_region_count,match_method,notes
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,2,decentralized,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,1,manual_review_decentralized,"ΔΠΘ - πολλαπλές έδρες (Κομοτηνή, Αλεξανδρούπολη, Ξάνθη)"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΣΙΑ ΥΠΗΡΕΣΙΑ ΑΠΑΣΧΟΛΗΣΗΣ,72,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικός φορέας (ΔΥΠΑ/πρ. ΟΑΕΔ) - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΡΟΔΟΥ ΜΟΝΟΜΕΤΟΧΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΚΑΙ ΔΙΑΚΡΙΤΙΚΟ ΤΙΤΛΟ «Δ.Ε.Ρ.Μ.Α.Ε.»,8,municipality,9296,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,,0,manual_review_municipality,Δημοτικές Επιχειρήσεις Ρόδου - Νότιο Αιγαίο
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΗ  ΕΠΙΧΕΙΡΗΣΗ  ΥΔΡΕΥΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ ΠΤΟΛΕΜΑΙΔΑΣ,2,municipality,9067,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,"ΔΕΥΑ Πτολεμαΐδας - Εορδαία, Δυτική Μακεδονία"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,6,municipality,9310,ΚΡΗΤΗΣ,,0,manual_review_municipality,Δημοτική ΑΕ Αγίου Νικολάου - Κρήτη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΚΙΝΗΤΩΝ ΙΩΑΝΝΙΝΩΝ  (ΔΗ.ΑΝ.ΕΤ.Α.Ι.),6,municipality,9084,ΗΠΕΙΡΟΥ,,0,manual_review_municipality,"ΔΗ.ΑΝ.ΕΤ.Α.Ι. - Ιωάννινα, Ήπειρος"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΚΙΝΗΤΩΝ ΛΑΥΡΕΩΤΙΚΗΣ,2,municipality,9219,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Δημοτική ΑΕ ακινήτων Λαυρεωτικής - Αττική
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΙΣΗ ΥΔΡΕΥΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ ΜΕΙΖΟΝΟΣ ΒΟΛΟΥ,4,municipality,9105,ΘΕΣΣΑΛΙΑΣ,,0,manual_review_municipality,ΔΕΥΑ Μείζονος Βόλου - Θεσσαλία
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΙΑΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΔΙΑΧΕΙΡΙΣΗΣ ΣΤΕΡΕΩΝ ΑΠΟΒΛΗΤΩΝ Δ.Ε.ΔΙ.Σ.Α. Α.Ε. Ο.Τ.Α.,4,municipality,9325,ΚΡΗΤΗΣ,,0,manual_review_municipality,"ΔΕΔΙΣΑ - διαχείριση ΣΑ Νομού Χανίων, Κρήτη"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΙΑΧΕΙΡΙΣΗ ΑΠΟΡΡΙΜΜΑΤΩΝ ΝΟΜΟΥ ΧΙΟΥ Α.Ε.,4,municipality,9266,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,,0,manual_review_municipality,Διαχείριση απορριμμάτων Νομού Χίου - Βόρειο Αιγαίο
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΟΣ,2,decentralized,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,manual_review_decentralized,"ΔΙΠΑΕ - πολλαπλές έδρες (Θεσσαλονίκη, Σέρρες, Καβάλα)"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΙΚΤΥΟ ΣΥΝΕΡΓΑΣΙΑΣ ΔΗΜΩΝ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΕΝΟΤΗΤΑΣ ΝΗΣΩΝ ΑΤΤΙΚΗΣ,1,other,,,,0,exact,
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΥΠΕ   Α'  ΑΤΤΙΚΗΣ,8,decentralized,,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,1,manual_review_decentralized,1η ΔΥΠΕ Αττικής - καλύπτει όλους τους δήμους Περιφέρειας Αττικής
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΑ ΑΘΛΗΤΙΚΑ ΚΕΝΤΡΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,6,municipality,9031,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,Εθνικά Αθλητικά Κέντρα Θεσσαλονίκης
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΗ ΠΙΝΑΚΟΘΗΚΗ ΚΑΙ ΜΟΥΣΕΙΟ ΑΛΕΞΑΝΔΡΟΥ ΣΟΥΤΖΟΥ,6,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,"Εθνική Πινακοθήκη - Αθήνα, Αττική"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,14,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,"ΕΚΠΑ - Αθήνα, Αττική"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ  ΛΑΡΙΣΑΣ,4,municipality,9100,ΘΕΣΣΑΛΙΑΣ,,0,manual_review_municipality,Εθνικό Αθλητικό Κέντρο Λάρισας - Θεσσαλία
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΑΣΤΕΡΟΣΚΟΠΕΙΟ ΑΘΗΝΩΝ,4,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Εθνικό Αστεροσκοπείο Αθηνών - Αττική
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΙΜΟΔΟΣΙΑΣ (ΕΚΕΑ),6,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικό Κέντρο Αιμοδοσίας - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ,4,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικό Κέντρο Κοινωνικής Αλληλεγγύης (ΕΚΚΑ) - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΜΟΥΣΕΙΟ ΣΥΓΧΡΟΝΗΣ ΤΕΧΝΗΣ,2,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Εθνικό Μουσείο Σύγχρονης Τέχνης - Αθήνα
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟ ΣΥΣΤΗΜΑ ΥΠΟΔΟΜΩΝ ΠΟΙΟΤΗΤΑΣ (Ε.Σ.Υ.Π.),1,other,,,,0,exact,
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟΣ ΚΗΠΟΣ ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΠΡΑΣΙΝΟ ΑΕ,8,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Εθνικός Κήπος & Λόφος Φιλοπάππου - Δήμος Αθηναίων
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ ΕΟΔΥ,4,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικός Οργανισμός Δημόσιας Υγείας - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΥΓΕΙΑΣ,2,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,ΕΟΠΥΥ - εθνικός φορέας παροχής υπηρεσιών υγείας
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΠΡΟΛΗΨΗΣ ΚΑΙ ΑΝΤΙΜΕΤΩΠΙΣΗΣ ΕΞΑΡΤΗΣΕΩΝ,8,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικός οργανισμός (ΟΚΑΝΑ) - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΙΔΙΚΟ ΚΑΤΑΣΤΗΜΑ ΚΡΑΤΗΣΗΣ ΝΕΩΝ ΑΥΛΩΝΑ,2,municipality,9227,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,"Ειδικό Κατάστημα Κράτησης Νέων Αυλώνα - Δήμος Ωρωπού, Αττική"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΕΙΔΙΚΟΣ ΠΕΡΙΦΕΡΕΙΑΚΟΣ ΔΙΑΒΑΘΜΙΔΙΚΟΣ ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΣΤΕΡΕΩΝ ΑΠΟΒΛΗΤΩΝ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,2,region,,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,1,manual_review_region,Φορέας ΣΑ Νοτίου Αιγαίου
